Vendor,Address,Order Cutoff,Case Size (units),Discount (%),Lead Mon,Lead Tue,Lead Wed,Lead Thu,Lead Fri,Lead Sat,Lead Sun
Amul,"38 Dairy Rd, Sector 16, Anand",15:30,48,2.5,2,2,2,2,3,4,4
Mother Dairy,"18 Dairy Rd, Sector 30, Karnal",12:30,24,10.0,1,1,1,1,2,3,3
Raj,"90 Dairy Rd, Sector 18, Pune",14:00,24,2.5,3,3,3,3,4,5,5
Sudha,"3 Dairy Rd, Sector 33, Erode",11:00,48,10.0,3,3,3,3,4,5,5
Dodla Dairy,"61 Dairy Rd, Sector 37, Erode",14:00,48,2.5,2,2,2,2,3,4,4
Palle2patnam,"62 Dairy Rd, Sector 4, Pune",14:00,6,10.0,3,3,3,3,4,5,5
Dynamix Dairies,"36 Dairy Rd, Sector 11, Karnal",11:00,12,7.5,3,3,3,3,4,5,5
Warana,"93 Dairy Rd, Sector 26, Karnal",15:30,24,0.0,3,3,3,3,4,5,5
Parag Milk Foods,"42 Dairy Rd, Sector 34, Pune",15:30,24,10.0,3,3,3,3,4,5,5
Passion Cheese,"54 Dairy Rd, Sector 35, Anand",14:00,24,0.0,3,3,3,3,4,5,5
Britannia Industries,"16 Dairy Rd, Sector 33, Erode",12:30,48,10.0,1,1,1,1,2,3,
